name	tdl	sym	uniprot	chr
Mitogen-activated protein kinase kinase kinase 2	Tchem	MAP3K2	Q9Y2U5	2q14.3
Membrane-spanning 4-domains subfamily A member 13	Tdark	MS4A13	Q5J8X5	11q12.2
Membrane-spanning 4-domains subfamily A member 15	Tdark	MS4A15	Q8N5U1	11q12.2
Membrane-spanning 4-domains subfamily A member 6E	Tdark	MS4A6E	Q96DS6	11q12
Mitogen-activated protein kinase kinase kinase kinase 3	Tchem	MAP4K3	Q8IVH8	2p22.1
Macrophage erythroblast attacher	Tbio	MAEA	Q7L5Y9	4p16.3
Transcription factor MafB	Tbio	MAFB	Q9Y5Q3	20q12
MaFF-interacting protein	Tdark	MAFIP	Q8WZ33	14 unplaced
Melanoma-associated antigen 5	Tdark	MAGEA5	P43359	Xq28
Melanoma-associated antigen B4	Tdark	MAGEB4	O15481	Xp21.2
Melanoma-associated antigen E2	Tdark	MAGEE2	Q8TD90	Xq13.3
Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3	Tbio	MAGI3	Q5TCQ9	1p13.2
PDZ domain-containing protein MAGIX	Tdark	MAGIX	Q9H6Y5	Xp11.23
Serine/threonine-protein kinase MAK	Tchem	MAK	P20794	6p24.2
Protein MAL2	Tdark	MAL2	Q969L2	8q24.12
Myelin and lymphocyte protein	Tbio	MAL	P21145	2q11.1
MAM domain-containing protein 2	Tdark	MAMDC2	Q7Z304	9q21.12
Mastermind-like protein 1	Tbio	MAML1	Q92585	5q35.3
Mastermind-like protein 3	Tbio	MAML3	Q96JK9	4q31.1
Inner nuclear membrane protein Man1	Tbio	LEMD3	Q9Y2U8	12q14.3
Glycoprotein endo-alpha-1,2-mannosidase	Tbio	MANEA	Q5SRI9	6q16.1
Glycoprotein endo-alpha-1,2-mannosidase-like protein	Tdark	MANEAL	Q5VSG8	1p34.3
NAD-dependent malic enzyme, mitochondrial	Tbio	ME2	P23368	18q21.2
Microtubule-associated protein 4	Tbio	MAP4	P27816	3p21.31
Microtubule-associated protein 6	Tbio	MAP6	Q96JE9	11q13.5
Melanoma antigen recognized by T-cells 1	Tbio	MLANA	Q16655	9p24.1
Mitochondrial amidoxime reducing component 2	Tbio	MARC2	Q969Z3	1q41
Microtubule-associated protein RP/EB family member 1	Tbio	MAPRE1	Q15691	20q11.21
MEF2-activating motif and SAP domain-containing transcriptional regulator	Tbio	MAMSTR	Q6ZN01	19q13.33
Multicilin	Tbio	MCIDAS	D6RGH6	5q11.2
Mucolipin-1	Tchem	MCOLN1	Q9GZU1	19p13.2
Mucolipin-2	Tbio	MCOLN2	Q8IZK6	1p22.3
Putative malate dehydrogenase 1B	Tdark	MDH1B	Q5I0G3	2q33.3
Malate dehydrogenase, cytoplasmic	Tbio	MDH1	P40925	2p15
Putative methyltransferase-like protein 15P1	Tdark	METTL15P1	P0C7V9	3q25.31
Methyl-CpG-binding protein 2	Tchem	MECP2	P51608	Xq28
Mediator of RNA polymerase II transcription subunit 13	Tbio	MED13	Q9UHV7	17q23.2
Mediator of RNA polymerase II transcription subunit 14	Tbio	MED14	O60244	Xp11.4
Mediator of RNA polymerase II transcription subunit 17	Tbio	MED17	Q9NVC6	11q21
Mediator of RNA polymerase II transcription subunit 22	Tbio	MED22	Q15528	9q34.2
Meiosis inhibitor protein 1	Tbio	MEI1	Q5TIA1	22q13.2
U6 snRNA-associated Sm-like protein LSm6	Tdark	LSM6	P62312	4q31.22
Target of rapamycin complex subunit LST8	Tbio	MLST8	Q9BVC4	16p13.3
Leukotriene B4 receptor 1	Tchem	LTB4R	Q15722	14q12
Leukotriene C4 synthase	Tchem	LTC4S	Q16873	5q35.3
Ragulator complex protein LAMTOR1	Tbio	LAMTOR1	Q6IAA8	11q13.4
Ly6/PLAUR domain-containing protein 2	Tdark	LYPD2	Q6UXB3	8q24.3
Lysozyme C	Tbio	LYZ	P61626	12q15
Leucine zipper putative tumor suppressor 2	Tbio	LZTS2	Q9BRK4	10q24.31
Leucine zipper putative tumor suppressor 3	Tdark	LZTS3	O60299	20p13
RNA helicase Mov10l1	Tbio	MOV10L1	Q9BXT6	22q13.33
Putative uncharacterized protein MED14OS	Tdark	MED14OS	P0DP75	Xp11.4
Metallothionein 1H-like protein 1	Tdark	MT1HL1	P0DM35	1q43
Mitogen-activated protein kinase kinase kinase 19	Tchem	MAP3K19	Q56UN5	2q21.3
Mitogen-activated protein kinase kinase kinase 1	Tchem	MAP3K1	Q13233	5q11.2
Mitogen-activated protein kinase kinase kinase 20	Tchem	MAP3K20	Q9NYL2	2q31.1
Mitogen-activated protein kinase kinase kinase 3	Tchem	MAP3K3	Q99759	17q23.3
Mitogen-activated protein kinase kinase kinase 6	Tchem	MAP3K6	O95382	1p36.11
Mitogen-activated protein kinase kinase kinase kinase 2	Tchem	MAP4K2	Q12851	11q13.1
Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB	Tdark	MAN1A2	O60476	1p12
Mannosyl-oligosaccharide 1,2-alpha-mannosidase IC	Tdark	MAN1C1	Q9NR34	1p36.11
Alpha-mannosidase 2	Tbio	MAN2A1	Q16706	5q21.3
Alpha-mannosidase 2x	Tbio	MAN2A2	P49641	15q25
Lysosomal alpha-mannosidase	Tchem	MAN2B1	O00754	19p13.13
MAP6 domain-containing protein 1	Tdark	MAP6D1	Q9H9H5	3q27.1
Maleylacetoacetate isomerase	Tbio	GSTZ1	O43708	14q24.3
Mitogen-activated protein kinase-binding protein 1	Tbio	MAPKBP1	O60336	15q15.1
Metastasis-associated in colon cancer protein 1	Tbio	MACC1	Q6ZN28	7p21.1
O-acetyl-ADP-ribose deacetylase MACROD1	Tbio	MACROD1	Q9BQ69	11q13.1
Macoilin	Tbio	MACO1	Q8N5G2	1p36.11
Max dimerization protein 3	Tbio	MXD3	Q9BW11	5q35.3
Repressor of RNA polymerase III transcription MAF1 homolog	Tbio	MAF1	Q9H063	8q24.3
Transcription factor MafA	Tbio	MAFA	Q8NHW3	8q24.3
Melanoma-associated antigen 2	Tbio	MAGEA2	P43356	Xq28
Melanoma-associated antigen 6	Tbio	MAGEA6	P43360	Xq28
Melanoma-associated antigen B2	Tbio	MAGEB2	O15479	Xp21.2
Melanoma-associated antigen B5	Tdark	MAGEB5	Q9BZ81	Xp21.3
Melanoma-associated antigen B16	Tdark	MAGEB16	A2A368	Xp21.1
Membrane-anchored junction protein	Tdark	MAJIN	Q3KP22	11q13.1
MARVEL domain-containing protein 3	Tbio	MARVELD3	Q96A59	16q22.2
MAL-like protein	Tbio	MALL	Q13021	2q13
Microtubule-associated protein RP/EB family member 3	Tbio	MAPRE3	Q9UPY8	2p23.3
Meiosis regulator and mRNA stability factor 1	Tdark	MARF1	Q9Y4F3	16p13.11
E3 ubiquitin-protein ligase MARCH1	Tbio	MARCH1	Q8TCQ1	4q32.2-q32.3
E3 ubiquitin-protein ligase MARCH3	Tbio	MARCH3	Q86UD3	5q23.2
E3 ubiquitin-protein ligase MARCH5	Tbio	MARCH5	Q9NX47	10q23.32-q23.33
E3 ubiquitin-protein ligase MARCH6	Tbio	MARCH6	O60337	5p15.2
E3 ubiquitin-protein ligase MARCH9	Tbio	MARCH9	Q86YJ5	12q14.1
Serine/threonine-protein kinase MARK1	Tchem	MARK1	Q9P0L2	1q41
MAP/microtubule affinity-regulating kinase 3	Tchem	MARK3	P27448	14q32.32-q32.33
Mannan-binding lectin serine protease 1	Tbio	MASP1	P48740	3q27.3
Mannan-binding lectin serine protease 2	Tbio	MASP2	O00187	1p36.22
Mitochondrial assembly of ribosomal large subunit protein 1	Tbio	MALSU1	Q96EH3	7p15.3
Proto-oncogene Mas	Tchem	MAS1	P04201	6q25.3
Cartilage matrix protein	Tbio	MATN1	P21941	1p35.2
Matrilin-2	Tbio	MATN2	O00339	8q22.1-q22.2
Matrilin-4	Tbio	MATN4	O95460	20q13.12
Putative nucleotidyltransferase MAB21L1	Tbio	MAB21L1	Q13394	13q13.3
Methyl-CpG-binding domain protein 3-like 1	Tbio	MBD3L1	Q8WWY6	19p13.2
Methyl-CpG-binding domain protein 3-like 2B	Tdark	MBD3L2B	A0A1B0GVZ6	19p13.2
Putative methyl-CpG-binding domain protein 3-like 4	Tdark	MBD3L4	A6NDZ8	19p13.2
Methyl-CpG-binding domain protein 4	Tbio	MBD4	O95243	3q21.3
Methyl-CpG-binding domain protein 5	Tbio	MBD5	Q9P267	2q23.2
Mannose-binding protein C	Tbio	MBL2	P11226	10q21.1
Muscleblind-like protein 2	Tbio	MBNL2	Q5VZF2	13q32.1
Lysophospholipid acyltransferase 1	Tdark	MBOAT1	Q6ZNC8	6p22.3
Ghrelin O-acyltransferase	Tbio	MBOAT4	Q96T53	8p12
DNA helicase MCM9	Tbio	MCM9	Q9NXL9	6q22.31
Microspherule protein 1	Tbio	MCRS1	Q96EZ8	12q13.12
Mineralocorticoid receptor	Tclin	NR3C2	P08235	4q31
Malignant T-cell-amplified sequence 1	Tbio	MCTS1	Q9ULC4	Xq24
Calcium uniporter protein, mitochondrial	Tbio	MCU	Q8NE86	10q22.1
Mediator of DNA damage checkpoint protein 1	Tbio	MDC1	Q14676	6p21.33
Protein Mdm4	Tchem	MDM4	O15151	1q32.1
Putative homeobox protein Meis3-like 1	Tdark	MEIS3P1	A6NDR6	17p12
Enoyl-[acyl-carrier-protein] reductase, mitochondrial	Tbio	MECR	Q9BV79	1p35.3
Mediator of RNA polymerase II transcription subunit 10	Tdark	MED10	Q9BTT4	5p15.31
Mediator of RNA polymerase II transcription subunit 11	Tdark	MED11	Q9P086	17p13.2
Mediator of RNA polymerase II transcription subunit 21	Tbio	MED21	Q13503	12p12
Mediator of RNA polymerase II transcription subunit 24	Tbio	MED24	O75448	17q21.1
Melanoma-associated antigen B17	Tdark	MAGEB17	A8MXT2	Xp22.2
Melanoma-associated antigen C1	Tbio	MAGEC1	O60732	Xq27.2
Melanoma-associated antigen C3	Tdark	MAGEC3	Q8TD91	Xq27.2
Melanoma-associated antigen E1	Tbio	MAGEE1	Q9HCI5	Xq13.3
Melanoma-associated antigen H1	Tbio	MAGEH1	Q9H213	Xp11.21
Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1	Tbio	MAGI1	Q96QZ7	3p14.1
Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2	Tbio	MAGI2	Q86UL8	7q21.11
Myelin-associated glycoprotein	Tchem	MAG	P20916	19q13.1
MAM and LDL-receptor class A domain-containing protein 1	Tbio	MALRD1	Q5VYJ5	10p12.31
Mastermind-like domain-containing protein 1	Tbio	MAMLD1	Q13495	Xq28
Mastermind-like protein 2	Tbio	MAML2	Q8IZL2	11q21
MANSC domain-containing protein 1	Tdark	MANSC1	Q9H8J5	12p13.2
NADP-dependent malic enzyme, mitochondrial	Tbio	ME3	Q16798	11q14.2
Microtubule-associated protein 1A	Tbio	MAP1A	P78559	15q15.3
MAP kinase-activated protein kinase 2	Tchem	MAPKAPK2	P49137	1q32.1
MAP kinase-activated protein kinase 5	Tchem	MAPKAPK5	Q8IW41	12q24.12-q24.13
Mitochondrial amidoxime-reducing component 1	Tbio	MARC1	Q5VT66	1q41
E3 ubiquitin-protein ligase MARCH2	Tbio	MARCH2	Q9P0N8	19p13.2
Probable E3 ubiquitin-protein ligase MARCH10	Tbio	MARCH10	Q8NA82	17q23.3
E3 ubiquitin-protein ligase MARCH11	Tbio	MARCH11	A6NNE9	5p15.1
Microtubule-associated serine/threonine-protein kinase 3	Tchem	MAST3	O60307	19p13.11
Myb-binding protein 1A	Tbio	MYBBP1A	Q9BQG0	17p13.2
Methyl-CpG-binding domain protein 1	Tbio	MBD1	Q9UIS9	18q21.1
Methyl-CpG-binding domain protein 2	Tchem	MBD2	Q9UBB5	18q21.2
Methyl-CpG-binding domain protein 3	Tbio	MBD3	O95983	19p13
MAP3K12-binding inhibitory protein 1	Tbio	MBIP	Q9NS73	14q13.3
Metallo-beta-lactamase domain-containing protein 1	Tdark	MBLAC1	A4D2B0	7q22.1
Metallo-beta-lactamase domain-containing protein 2	Tdark	MBLAC2	Q68D91	5q14.3
Muscleblind-like protein 3	Tbio	MBNL3	Q9NUK0	Xq26.2
Lysophospholipid acyltransferase 5	Tbio	LPCAT3	Q6P1A2	12p13.31
Myelin basic protein	Tbio	MBP	P02686	18q23
Melanocortin receptor 3	Tchem	MC3R	P41968	20q13.2
Melanocortin receptor 4	Tchem	MC4R	P32245	18q21.32
Mitochondrial carnitine/acylcarnitine carrier protein	Tbio	SLC25A20	O43772	3p21.31
Mast cell-expressed membrane protein 1	Tdark	MCEMP1	Q8IX19	19p13.2
mRNA cap guanine-N7 methyltransferase	Tbio	RNMT	O43148	18p11.21
Putative pro-MCH-like protein 1	Tdark	PMCHL1	Q16048	5p14.3
Minichromosome maintenance domain-containing protein 2	Tdark	MCMDC2	Q4G0Z9	8q13.1
Putative metaphase chromosome protein 1	Tbio	HSMCR30	P0CW71	NULL
Microcephalin	Tbio	MCPH1	Q8NEM0	8p23.1
Membrane cofactor protein	Tbio	CD46	P15529	1q32.2
Mitochondrial calcium uniporter regulator 1	Tbio	MCUR1	Q96AQ8	6p23
Mediator of RNA polymerase II transcription subunit 12-like protein	Tbio	MED12L	Q86YW9	3q25.1
Mitotic spindle assembly checkpoint protein MAD1	Tbio	MAD1L1	Q9Y6D9	7p22.3
MAD2L1-binding protein	Tbio	MAD2L1BP	Q15013	6p21.1
MAM domain-containing glycosylphosphatidylinositol anchor protein 1	Tbio	MDGA1	Q8NFP4	6p21.2
Multidrug resistance protein 1	Tchem	ABCB1	P08183	7q21.12
Phosphatidylcholine translocator ABCB4	Tbio	ABCB4	P21439	7q21.12
MDS1 and EVI1 complex locus protein MDS1	Tbio	MECOM	Q13465	3q26.2
Myelodysplastic syndrome 2 translocation-associated protein	Tdark	MDS2	Q8NDY4	1p36
Mediator of RNA polymerase II transcription subunit 15	Tbio	MED15	Q96RN5	22q11.21
Mediator of RNA polymerase II transcription subunit 20	Tbio	MED20	Q9H944	6p21.1
Mediator of RNA polymerase II transcription subunit 31	Tbio	MED31	Q9Y3C7	17p13.1
Mediator of RNA polymerase II transcription subunit 4	Tbio	MED4	Q9NPJ6	13q14.2
Mediator of RNA polymerase II transcription subunit 8	Tbio	MED8	Q96G25	1p34.2
Mediator of RNA polymerase II transcription subunit 9	Tdark	MED9	Q9NWA0	17p11.2
LRP chaperone MESD	Tbio	MESD	Q14696	15q13
Methyltransferase-like protein 23	Tdark	METTL23	Q86XA0	17q25.2
Methyltransferase-like protein 2B	Tbio	METTL2B	Q6P1Q9	7q32.1
Methyltransferase-like protein 5	Tdark	METTL5	Q9NRN9	2q31.1
Putative apolipoprotein(a)-like protein 2	Tdark	LPAL2	Q16609	6q25.3
Lysophosphatidic acid receptor 1	Tchem	LPAR1	Q92633	9q31.3
Leucine-rich repeat-containing protein 10B	Tdark	LRRC10B	A6NIK2	11q12.2
LRP2-binding protein	Tdark	LRP2BP	Q9P2M1	4q35.1
Leucine-rich repeat-containing protein 74B	Tdark	LRRC74B	Q6ZQY2	22q11.21
Leucine-rich repeat-containing protein 17	Tdark	LRRC17	Q8N6Y2	7q22.1
Leucine-rich repeat-containing protein 19	Tdark	LRRC19	Q9H756	9p21.2
Leucine-rich repeat-containing protein 20	Tdark	LRRC20	Q8TCA0	10q22.1
Leucine-rich repeat-containing protein 28	Tdark	LRRC28	Q86X40	15q26.3
Leucine-rich repeat-containing protein 29	Tdark	LRRC29	Q8WV35	16q22.1
Leucine-rich repeat-containing protein 34	Tdark	LRRC34	Q8IZ02	3q26.2
Leucine-rich repeat-containing protein 38	Tbio	LRRC38	Q5VT99	1p36.21
Leucine-rich repeat-containing protein 40	Tdark	LRRC40	Q9H9A6	1p31.1
Leucine-rich repeat-containing protein 46	Tdark	LRRC46	Q96FV0	17q21.32
Leucine-rich repeat-containing protein 49	Tdark	LRRC49	Q8IUZ0	15q23
Leucine-rich repeat-containing protein 4C	Tbio	LRRC4C	Q9HCJ2	11p12
Leucine-rich repeat-containing protein 53	Tdark	LRRC53	A6NM62	1p31.1
Leucine-rich repeat-containing protein 73	Tdark	LRRC73	Q5JTD7	6p21.1
Volume-regulated anion channel subunit LRRC8A	Tbio	LRRC8A	Q8IWT6	9q34.11
Volume-regulated anion channel subunit LRRC8B	Tdark	LRRC8B	Q6P9F7	1p22.2
Volume-regulated anion channel subunit LRRC8C	Tdark	LRRC8C	Q8TDW0	1p22.2
Volume-regulated anion channel subunit LRRC8D	Tdark	LRRC8D	Q7L1W4	1p22.2
Leucine-rich repeat and coiled-coil domain-containing protein 1	Tdark	LRRCC1	Q9C099	8q21.2
Leucine-rich repeat and calponin homology domain-containing protein 2	Tdark	LRCH2	Q5VUJ6	Xq23
Leucine-rich colipase-like protein 1	Tdark	LRCOL1	A6NCL2	12q24.33
Leucine-rich repeat and fibronectin type III domain-containing protein 1	Tdark	LRFN1	Q9P244	19q13.2
Leucine-rich repeat and fibronectin type-III domain-containing protein 2	Tbio	LRFN2	Q9ULH4	6p21.2-p21.1
Leucine-rich repeat and fibronectin type-III domain-containing protein 3	Tdark	LRFN3	Q9BTN0	19q13.13
Leucine-rich repeat and fibronectin type-III domain-containing protein 4	Tbio	LRFN4	Q6PJG9	11q13.1
Leucine-rich repeat and guanylate kinase domain-containing protein	Tdark	LRGUK	Q96M69	7q33
Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 2	Tdark	LRIT2	A6NDA9	10q23.1
Low-density lipoprotein receptor-related protein 10	Tdark	LRP10	Q7Z4F1	14q11.2
Low-density lipoprotein receptor-related protein 11	Tdark	LRP11	Q86VZ4	6q25.1
Low-density lipoprotein receptor-related protein 1B	Tbio	LRP1B	Q9NZR2	2q22.1-q22.2
Low-density lipoprotein receptor-related protein 3	Tbio	LRP3	O75074	19q13.11
Low-density lipoprotein receptor-related protein 8	Tbio	LRP8	Q14114	1p32.3
Leucine-rich repeat-containing protein 70	Tdark	LRRC70	Q7Z2Q7	5q12.1
Leucine-rich repeat-containing protein 3	Tdark	LRRC3	Q9BY71	21q22.3
Leucine-rich repeat flightless-interacting protein 2	Tbio	LRRFIP2	Q9Y608	3p22.2
Leucine-rich repeat serine/threonine-protein kinase 1	Tbio	LRRK1	Q38SD2	15q26.3
Leucine-rich repeat neuronal protein 1	Tdark	LRRN1	Q6UXK5	3p26.2
Leucine-rich repeat neuronal protein 4	Tdark	LRRN4	Q8WUT4	20p12.3
Leucine-rich repeat transmembrane neuronal protein 4	Tdark	LRRTM4	Q86VH4	2p12
Protein LSM14 homolog A	Tbio	LSM14A	Q8ND56	19q13.11
Limbic system-associated membrane protein	Tbio	LSAMP	Q13449	3q13.31
U6 snRNA-associated Sm-like protein LSm1	Tbio	LSM1	O15116	8p11.23
U6 snRNA-associated Sm-like protein LSm7	Tbio	LSM7	Q9UK45	19p13.3
N-alpha-acetyltransferase 38, NatC auxiliary subunit	Tdark	NAA38	Q9BRA0	17p13.1
Leucine-rich single-pass membrane protein 2	Tdark	LSMEM2	Q8N112	3p21.31
Lipolysis-stimulated lipoprotein receptor	Tbio	LSR	Q86X29	19q13.12
Latent-transforming growth factor beta-binding protein 1	Tbio	LTBP1	Q14766	2p22.3
Latent-transforming growth factor beta-binding protein 2	Tbio	LTBP2	Q14767	14q24.3
Latent-transforming growth factor beta-binding protein 3	Tbio	LTBP3	Q9NS15	11q13.1
Latent-transforming growth factor beta-binding protein 4	Tbio	LTBP4	Q8N2S1	19q13.1-q13.2
E3 ubiquitin-protein ligase listerin	Tbio	LTN1	O94822	21q21.3
LysM and putative peptidoglycan-binding domain-containing protein 2	Tdark	LYSMD2	Q8IV50	15q21.2
LysM and putative peptidoglycan-binding domain-containing protein 3	Tdark	LYSMD3	Q7Z3D4	5q14.3
Lysosomal-trafficking regulator	Tbio	LYST	Q99698	1q42.3
Lysozyme-like protein 2	Tdark	LYZL2	Q7Z4W2	10p11.23
Leucine-zipper-like transcriptional regulator 1	Tbio	LZTR1	Q8N653	22q11.21
Leucine zipper putative tumor suppressor 1	Tbio	LZTS1	Q9Y250	8p21.3
Mis18-binding protein 1	Tdark	MIS18BP1	Q6P0N0	14q21.2
Membrane-spanning 4-domains subfamily A member 12	Tdark	MS4A12	Q9NXJ0	11q12
Membrane-spanning 4-domains subfamily A member 14	Tdark	MS4A14	Q96JA4	11q12.2
Membrane-spanning 4-domains subfamily A member 8	Tdark	MS4A8	Q9BY19	11q12.2
Mitogen-activated protein kinase kinase kinase kinase 4	Tchem	MAP4K4	O95819	2q11.2
Putative MAGE domain-containing protein MAGEA13P	Tdark	MAGEA13P	A6NCF6	Xq26.3
Epididymis-specific alpha-mannosidase	Tdark	MAN2B2	Q9Y2E5	4p16.1
MAP7 domain-containing protein 1	Tdark	MAP7D1	Q3KQU3	1p34.3
Max dimerization protein 1	Tbio	MXD1	Q05195	2p13.3
Max dimerization protein 4	Tbio	MXD4	Q14582	4p16.3
Protein maelstrom homolog	Tbio	MAEL	Q96JY0	1q24.1
Transcription factor MafK	Tbio	MAFK	O60675	7p22.3
Melanoma-associated antigen 1	Tbio	MAGEA1	P43355	Xq28
Melanoma-associated antigen 4	Tbio	MAGEA4	P43358	Xq28
Melanoma-associated antigen 8	Tbio	MAGEA8	P43361	Xq28
Melanoma-associated antigen 10	Tbio	MAGEA10	P43363	Xq28
Melanoma-associated antigen 12	Tbio	MAGEA12	P43365	Xq28
Melanoma-associated antigen B3	Tdark	MAGEB3	O15480	Xp21.2
Melanoma-associated antigen B6	Tdark	MAGEB6	Q8N7X4	Xp21.3
Melanoma-associated antigen C2	Tbio	MAGEC2	Q9UBF1	Xq27.2
Melanoma-associated antigen D1	Tbio	MAGED1	Q9Y5V3	Xp11.22
Melanoma-associated antigen D2	Tbio	MAGED2	Q9UNF1	Xp11.21
MANSC domain-containing protein 4	Tdark	MANSC4	A6NHS7	12p11.22
Microtubule-associated protein 1B	Tchem	MAP1B	P46821	5q13.2
Myc-associated zinc finger protein	Tbio	MAZ	P56270	16p11.2
Putative methyl-CpG-binding domain protein 3-like 5	Tdark	MBD3L5	A6NJ08	19p13.2
MBT domain-containing protein 1	Tdark	MBTD1	Q05BQ5	17q21.33
Melanocortin receptor 5	Tchem	MC5R	P33032	18p11.21
Activating transcription factor 7-interacting protein 1	Tbio	ATF7IP	Q6VMQ6	12p13.1
Mitochondrial basic amino acids transporter	Tbio	SLC25A29	Q8N8R3	14q32.2
Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial	Tbio	MCCC1	Q96RQ3	3q27.1
E3 ubiquitin-protein ligase LNX	Tbio	LNX1	Q8TBB1	4q12
Ligand of Numb protein X 2	Tbio	LNX2	Q8N448	13q12.2
LINE-1 retrotransposable element ORF1 protein	Tbio	L1RE1	Q9UN81	NULL
Loricrin	Tbio	LOR	P23490	1q21.3
Arachidonate 15-lipoxygenase	Tchem	ALOX15	P16050	17p13.2
Lysyl oxidase homolog 4	Tbio	LOXL4	Q96JB6	10q24.2
Leucine-rich PPR motif-containing protein, mitochondrial	Tbio	LRPPRC	P42704	2p21
Leupaxin	Tbio	LPXN	O60711	11q12.1
Putative uncharacterized protein LQK1	Tdark	FLVCR1-AS1	Q8TAF5	1q32.3
Leucine-rich repeat-containing protein 74A	Tdark	LRRC74A	Q0VAA2	14q24.3
Leucine-rich repeat-containing protein 75B	Tdark	LRRC75B	Q2VPJ9	22q11.23
Leucine repeat adapter protein 25	Tbio	FAM89B	Q8N5H3	11q13.1
Low-density lipoprotein receptor class A domain-containing protein 1	Tdark	LDLRAD1	Q5T700	1p32.3
Low-density lipoprotein receptor class A domain-containing protein 3	Tbio	LDLRAD3	Q86YD5	11p13
Lecithin retinol acyltransferase	Tbio	LRAT	O95237	4q32.1
Leucine-rich repeat-containing protein 10	Tdark	LRRC10	Q5BKY1	12q15
Leucine-rich repeat-containing protein 15	Tbio	LRRC15	Q8TF66	3q29
Leucine-rich repeat-containing protein 18	Tdark	LRRC18	Q8N456	10q11.23
Leucine-rich repeat-containing protein 24	Tdark	LRRC24	Q50LG9	8q24.3
Leucine-rich repeat-containing protein 27	Tdark	LRRC27	Q9C0I9	10q26.3
Leucine-rich repeat-containing protein 31	Tdark	LRRC31	Q6UY01	3q26.2
Leucine-rich repeat-containing protein 32	Tbio	LRRC32	Q14392	11q13.5
Leucine-rich repeat-containing protein 43	Tdark	LRRC43	Q8N309	12q24.31
Leucine-rich repeat-containing protein 45	Tdark	LRRC45	Q96CN5	17q25.3
Leucine-rich repeat-containing protein 47	Tdark	LRRC47	Q8N1G4	1p36.32
Leucine-rich repeat-containing protein 51	Tbio	LRTOMT	Q96E66	11q13.4
Leucine-rich repeat-containing protein 52	Tbio	LRRC52	Q8N7C0	1q24.1
Leucine-rich repeat-containing protein 56	Tdark	LRRC56	Q8IYG6	11p15.5
Leucine-rich repeat-containing protein 57	Tdark	LRRC57	Q8N9N7	15q15.2
Leucine-rich repeat-containing protein 61	Tdark	LRRC61	Q9BV99	7q36.1
Leucine-rich repeat-containing protein 63	Tdark	LRRC63	Q05C16	13q14.13
Volume-regulated anion channel subunit LRRC8E	Tdark	LRRC8E	Q6NSJ5	19p13.2
Leucine-rich repeat and fibronectin type-III domain-containing protein 5	Tbio	LRFN5	Q96NI6	14q21.1
Leucine-rich repeats and immunoglobulin-like domains protein 1	Tbio	LRIG1	Q96JA1	3p14.1
Leucine-rich repeats and immunoglobulin-like domains protein 3	Tbio	LRIG3	Q6UXM1	12q14.1
Leucine-rich repeat-containing protein 3C	Tdark	LRRC3C	A6NJW4	17q21.1
Leucine-rich repeat-containing protein 1	Tbio	LRRC1	Q9BTT6	6p12.1
Leucine-rich repeat-containing protein 2	Tdark	LRRC2	Q9BYS8	3p21.31
Leucine-rich repeat-containing protein 4	Tbio	LRRC4	Q9HBW1	7q32.1
Leucine-rich repeat-containing protein 7	Tbio	LRRC7	Q96NW7	1p31.1
Leucine-rich repeat-containing protein 9	Tdark	LRRC9	Q6ZRR7	14q23.1
Leucine-rich repeat and death domain-containing protein 1	Tdark	LRRD1	A4D1F6	7q21.2
Leucine-rich repeat flightless-interacting protein 1	Tbio	LRRFIP1	Q32MZ4	2q37.3
Leucine-rich repeat neuronal protein 2	Tdark	LRRN2	O75325	1q32.1
E3 ubiquitin-protein ligase LRSAM1	Tbio	LRSAM1	Q6UWE0	9q33.3-q34.11
Leucine-rich repeat and transmembrane domain-containing protein 2	Tdark	LRTM2	Q8N967	12p13.33
U7 snRNA-associated Sm-like protein LSm10	Tbio	LSM10	Q969L4	1p34.3
U7 snRNA-associated Sm-like protein LSm11	Tbio	LSM11	P83369	5q33.3
Protein LSM12 homolog	Tbio	LSM12	Q3MHD2	17q21.31
U6 snRNA-associated Sm-like protein LSm8	Tdark	LSM8	O95777	7q31.31
Leucine-rich single-pass membrane protein 1	Tdark	LSMEM1	Q8N8F7	7q31.1
Leukocyte-specific transcript 1 protein	Tbio	LST1	O00453	6p21.33
Leukocyte tyrosine kinase receptor	Tchem	LTK	P29376	15q15.1
Ragulator complex protein LAMTOR4	Tdark	LAMTOR4	Q0VGL1	7q22.1
Leucine zipper protein 2	Tdark	LUZP2	Q86TE4	11p14.3
Leucine zipper protein 4	Tbio	LUZP4	Q9P127	Xq23
Immunoglobulin lambda variable 3-16	Tdark	IGLV3-16	A0A075B6K0	22q11.22
Immunoglobulin lambda variable 3-21	Tdark	IGLV3-21	P80748	22q11.22
Immunoglobulin lambda variable 4-3	Tdark	IGLV4-3	A0A075B6K6	22q11.22
Immunoglobulin lambda variable 4-69	Tdark	IGLV4-69	A0A075B6H9	22q11.22
Immunoglobulin lambda variable 5-45	Tdark	IGLV5-45	A0A087WSX0	22q11.22
Immunoglobulin lambda variable 7-43	Tdark	IGLV7-43	P04211	22q11.22
